"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"NirK",-0.390910921743258,0.148994389938726,0.613216897935464,0.199576335310348,-0.22881116180748,0.00554394045514808,-0.13484301769247,0.0510442028868439,0.225168977582531,-0.272139095388396,0.118579871067612,0.251136662864684,-0.0903945747733547,-0.018548453960194,-0.270187443196955,0.22903676445068,0.00153443913016009,-0.00905398794673748
"NarG",-0.557478716598975,0.194389308355101,-0.383699076676294,0.43237476381546,-0.101789940903488,-0.0812447090619935,0.0652124758146112,0.0606061619193505,-0.143845074679442,-0.123660262230362,0.109243018217288,0.0747697950220528,-0.122248908721794,-0.114145957830473,0.337703516874005,0.215083202707904,0.224709804594968,0.00942467687757319
"NosZ",-0.609122465596405,0.117882466111501,0.089192680217071,-0.242466412575707,0.29041566472678,-0.0313433099191762,0.0324874884800608,0.158525210666874,-0.338639232150785,0.224561498233051,0.371303195518193,-0.0405867073774304,-0.307671472757042,-0.0817464130037703,-0.140006999512958,-0.0427179485389126,-0.0970920205503431,0.00182082326429976
"Nap",-0.24196821036512,0.0392600596499641,-0.199566504166493,-0.516809393755164,-0.422768096507376,0.247945898664661,-0.2042146854169,0.290773958619081,0.322730302152107,0.259494724476339,-0.0630152019651018,0.202970279474001,-0.153525809380033,-0.0820415782632666,0.131338850806081,-0.0415064108600172,0.0225005050996245,0.00937953572609722
"NarK",-0.319621978993654,0.170630510886511,-0.366644659562588,0.468810684004291,-0.244737111116434,0.0528629953518071,0.364240831064736,0.10373431301331,0.34301440034775,0.0782071467863964,0.0527532512687279,-0.350089356810985,-0.0829977805662939,-0.0353169006775457,-0.169018912089487,-0.0860538314882512,-0.123135605212579,0.000817387827388145
"NrfA",-0.0283444282868479,0.0879658712061132,-0.115453113440115,-0.461231127359147,-0.620473960066527,-0.162083251146805,0.192998284794765,0.259362502047356,-0.326788484700049,-0.279260443937561,-0.0197826298243085,-0.178494804202479,0.13811572409756,0.018600993298508,-0.102183586527713,0.0504205283556094,0.0132960551809064,-0.00274893632196411
"cNor",-0.65697440771568,0.142797780310249,0.37037370314103,-0.0762277563930719,0.0625267224722149,0.119353370049104,-0.0955602132606382,0.0134441971556986,0.115057411105537,-0.256893043407908,0.210927528773413,-0.114461924592366,0.273656973358101,-0.155379075952244,0.22999761176555,-0.288137529250533,-0.0749174216405694,0.0122065648995874
"NosL",-0.658542666162611,0.123538542635071,0.162578325188996,0.115857834100495,-0.142521929608458,-0.0479382565749283,0.0776699837109051,-0.23827752679185,-0.190121833894058,0.291387117777798,-0.368384539819612,0.0914786834776978,0.175880589921939,-0.340346888992258,-0.117273308669816,-0.00890208312839474,0.00534439536219251,-0.00515214592981889
"NorD",-0.603873835920801,0.134489512032889,-0.434565346033278,0.183391683957535,0.000990489217034375,-0.104874795677507,0.00303725291616279,0.0876649838784464,-0.0884351837674584,-0.0166256234186027,-0.0110942113436516,0.408969883211302,0.165329403284317,0.344172552996652,-0.0860819133978368,-0.189878599564613,-0.106365458966662,-0.00570495651280141
"Hao",-0.0742577711454685,0.11295888759386,-0.134285924868066,0.0733436552724858,0.0938958480561289,0.930021361919363,-0.0134535437306448,0.0175564986788143,-0.209159032637087,-0.12851217768031,-0.0940244856689328,-0.0363480888350659,0.0215706636455518,0.0417335983597274,-0.0672204443918601,0.0791888710311972,-0.0250905104681148,-0.00424561280956024
