"PC","eigenvalue","variance_explained"
"PC1",3.22726830217038,17.929268345391
"PC2",2.4005520791382,13.3364004396566
"PC3",1.49116021539684,8.28422341887132
"PC4",1.32058689358024,7.33659385322358
"PC5",1.1093860176344,6.16325565352442
"PC6",1.07485939400409,5.97144107780052
"PC7",0.986194926539381,5.47886070299656
"PC8",0.904526128887946,5.02514516048859
"PC9",0.842114949438547,4.6784163857697
"PC10",0.766760814431237,4.25978230239576
"PC11",0.684514306393759,3.8028572577431
"PC12",0.666619254404123,3.70344030224512
"PC13",0.571623216469378,3.17568453594099
"PC14",0.518512755183863,2.88062641768813
"PC15",0.467776609664526,2.5987589425807
"PC16",0.438686949746628,2.4371497208146
"PC17",0.362879558690804,2.01599754828225
"PC18",0.165977628225671,0.92209793458706
