"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"NirK",0.414272740429997,-0.120604799928156,0.663892627312963,-0.0288139312746038,0.0493069118667495,-0.160644153884272,-0.0373679974567306,-0.0355751690642147,-0.218600523521287,-0.204043603822059,-0.0354108538271588,-0.350401084905772,-0.0226381682501805,-0.168875777953249,0.233428209526434,-0.188018712248633,-0.0949887449756056,0.000517710511979817
"NarG",0.557650618575857,-0.129884668172476,-0.189687029888646,-0.579917927335017,-0.0238664258457606,-0.0657486452110073,0.114663688292128,-0.0491105132208188,-0.178750772441884,-0.247480616566124,0.0448974055551036,0.0433001500416153,0.0919709222969023,-0.137514661244629,0.115695768684424,0.317934189322586,0.20118429784665,-0.00409952326661586
"NosZ",0.579041863057183,-0.0998960478444897,0.00465475559039508,0.315600452561694,0.0623029152964055,-0.0507807582734564,-0.149029116920562,-0.0158548543378817,0.03766203754149,0.0316776780149466,-0.653318766145975,0.178402404836989,0.157128860634206,-0.190230741369558,-0.048036468690937,0.0410440422095442,0.0155047059619628,-0.000370458343785013
"Nap",0.278849792100796,0.0029805630358056,0.058947760633751,0.20769486012688,-0.484730401528634,0.539654154899562,0.0187175088787443,-0.190960478244413,0.41519243462444,-0.352663085445614,0.0351744645904679,-0.101160012022734,-0.0237334655770917,-0.0394119332152797,0.014753142697544,0.0182814713099591,0.041367194362447,-0.00303433333407533
"NarK",0.253530703220103,-0.0696902517735838,0.0546021805112247,-0.739008888971507,-0.0802827844552668,0.0114519480175899,0.120600153390141,-0.0993903648132985,0.359334165629366,0.305155780842956,-0.264916199837213,-0.103464124060566,-0.145999812397427,0.0930215275712696,-0.00795732972236505,-0.107394556867422,-0.0778081394941795,-0.00203067220615922
"NrfA",0.0250021045063579,-0.0422037615719568,-0.000207709972193833,0.0672053732463949,-0.820800853136909,-0.0303710230652832,0.174711861169882,-0.168061855980102,-0.415736586073145,0.26759783209828,-0.0582613682956885,0.0519222360721168,0.0430454985916126,0.0640161516893834,0.0362304351296718,-0.00619837430039087,-0.0425440406191749,0.0048799438238107
"cNor",0.712147641703658,-0.153025470163454,0.159126565895492,0.130043999524211,0.0602203016740774,-0.0526255085787704,-0.0885268421244417,0.0547134698156626,-0.0419784107180051,0.0218601250346459,0.00371891840564221,-0.284800128327343,0.187260261580228,0.484280404293219,-0.198319228928358,0.106246435963192,0.079932451073556,-0.00167695690906689
"NosL",0.663016040902326,-0.0842274808305374,0.233529797362797,-0.0220155146233524,-0.00096892318236327,0.0239105422161722,0.0759177973305974,0.0196953025371485,0.131945781491381,0.284476786696122,0.384883656012352,0.0949932697574905,0.300495329228807,-0.306544826011321,-0.21219297623714,-0.0514706367917415,-0.0641998739743164,0.00328299251865119
"NorD",0.637769995584423,-0.110913887449006,-0.394019703671921,-0.172221524375747,0.00610942559045089,-0.0143010990272387,-0.00554393614861021,-0.00995552047378234,-0.158090787575186,-0.367683232800077,0.0476917190055873,0.276646267250574,-0.0202204592944616,0.14493397725038,-0.102543717967811,-0.298672191077108,-0.188488547642237,0.00313123674012403
"Hao",0.072102820588872,0.0238396971579499,0.00988107041164381,-0.0665739820737983,0.408062170933359,0.711387588988205,-0.0741038015894908,-0.413608084255883,-0.319882642286166,0.188046076927508,-0.0193276550226074,0.00447281197099565,0.00695899213789981,0.0233101743270585,0.0361877388815383,-0.0225156547241346,0.00703357641340552,0.00393665434763169
"NosD",0.097977897548289,0.0787687279254465,0.0475075802195067,-0.225181976109715,-0.218295256305443,0.331239778566346,-0.609108433900127,0.61374425827348,-0.11731892622543,0.0762207128496539,0.00686430101296943,0.00817361427144272,-0.0674778283189908,-0.0407645265072871,0.0107134073025885,0.00925077169966742,-0.00783641892457363,0.000443306517309952
"NarK2",0.14665110519706,-0.0377825251954177,0.05217656843622,0.103502505770175,0.1144343271848,0.324081344987965,0.724307194668278,0.54747477975887,-0.0835022867125645,0.00345954281819581,-0.107683537363312,-0.0140248035227057,-0.0422857885807901,0.00939952554734159,0.0195728959580029,-0.00867573654284933,-0.00661513296030633,-0.00129835097364572
"NirS",0.581888548978346,-0.0982090360801571,-0.488938644056969,0.248670153464613,0.0571887877783312,-0.0406423128929985,-0.055462406834766,0.0616022989205964,0.170509646625509,0.241390530213395,0.134385955711481,-0.0108678009121012,0.0794019415680224,0.0860418444667797,0.466200457169558,-0.0499175025306717,0.002214885565144,0.00125054001651484
"NosF",0.61156642989683,-0.130469013268474,-0.354469672121608,0.23837207364412,0.0230534883691,-0.0903738518867779,-0.0150358452450346,-0.053207551341681,-0.090373498174359,0.113995747887691,0.068250355093612,-0.205431637341207,-0.527158585859473,-0.179716758585836,-0.177786090899797,0.0687323067753864,0.0137481349150537,-0.000579889813677563
"NosY",0.37949270646501,-0.105914211712724,0.684857059262669,0.094244958812687,0.0360499902130015,-0.0453051842884833,-0.0115336051564915,-0.0408435018546851,0.0660474697980303,0.044672257922488,0.10428910970236,0.446990125953843,-0.30544395034509,0.167961562061285,0.102650427874812,0.097862346417459,0.0552002570197734,-0.000451342548552953
"bc1-sub1",0.238866141510116,0.924458066860283,0.0125134094889327,-0.00241117709279828,-0.0123312901590978,-0.0433391759104606,0.0277982278890417,-0.0152296687828772,-0.0271358870119146,0.0190218051134627,-0.00321318331871461,0.00719809895577774,-0.00943876968226263,0.00138052730057068,-0.00667273706096809,-0.0901764796128158,0.129377145479738,-0.242810076373843
"bc1-sub2",0.20989656761472,0.835266319168659,0.0135554976068659,0.00902588218933124,0.038971031872911,-0.00560742039269952,0.019342877299661,-0.0279619109692475,0.0126726632872843,-0.0371421314550788,-0.00553947141832217,-0.0253881782338616,0.00490276753676365,0.028272634958546,0.0395126896973418,0.275873649552611,-0.415221514836988,0.0467653805588369
"bc1-sub3",0.234704302877864,0.898077245134901,0.0147074941008179,-0.015791590003721,-0.0187376217292006,-0.0549422671994544,0.0334941819767302,-0.00262532667517538,-0.0136311325419489,0.0144102477870058,-0.0109738260829556,0.00480511762888788,-0.0187079051806656,-0.00295703323153787,-0.0162822357094862,-0.155263256729236,0.256185881190365,0.206175315985082
