"PC","eigenvalue","variance_explained"
"PC1",3.36316806575462,18.6842670319701
"PC2",2.49577513193408,13.8654173996338
"PC3",1.55769407858144,8.65385599211912
"PC4",1.27131156775987,7.06284204311036
"PC5",1.16005640046683,6.44475778037127
"PC6",1.0661549279295,5.92308293294168
"PC7",1.00263332963352,5.57018516463067
"PC8",0.938795607392355,5.21553115217975
"PC9",0.765410944035066,4.25228302241703
"PC10",0.725971636233251,4.03317575685139
"PC11",0.701102868516287,3.89501593620159
"PC12",0.589908734452002,3.27727074695557
"PC13",0.567515204834507,3.15286224908059
"PC14",0.518440368609063,2.88022427005035
"PC15",0.429813138575414,2.38785076986341
"PC16",0.378972103180307,2.10540057322392
"PC17",0.363526662984309,2.01959257213505
"PC18",0.103749229127592,0.576384606264402
