"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"NirK",0.398912964685469,-0.0457186912270035,-0.607192097831512,0.204493390186954,-0.113638430890894,0.0425708816924975,-0.209010259580436,0.0490452727605984,0.291331366658642,0.0123602086830615,0.40591729921739,0.123848330655809,0.013847591728822,0.156548531002935,0.164600576110347,0.222190508771826,-0.0341544400904724,0.000241867184240419
"NarG",0.585462459528607,-0.0270540168130227,0.404715671070427,0.463069046145498,0.0319861715405638,0.0551606672878173,-0.0659760297548655,0.112607978788236,0.0845007674532491,0.226747641239142,-0.0568141191510643,0.112314034937232,-0.0934430746468291,0.137113312383774,-0.0556706002375649,-0.028282684354702,0.389033303294947,-1.47639099352233e-05
"NosZ",0.670110160872338,-0.0649772279670686,-0.0779237138964161,-0.355406171929137,-0.0182453721312802,-0.0200906431411292,-0.0153581717356454,-0.0217051962391784,-0.130833806877363,-0.239636346995299,-0.245605222845014,0.269897996481322,-0.165980859763224,0.323411224837098,0.2243493984318,-0.143650430117679,-0.0455833325998395,0.000916811931087107
"Nap",0.337848354221612,-0.0360283200517927,-0.322569765556604,-0.16828543132429,0.364238693663828,-0.166212156164761,0.410732401747753,0.0837657114498488,-0.511126101477499,0.268805228390259,0.273051285634891,0.0495978312749709,0.0231285111276344,-7.4232799228248e-05,-0.0105266359282471,-0.0228369037923765,0.0669680575299694,-0.000148984935236818
"NarK",0.199311710888861,0.0168279998920615,0.249076062266527,0.65010362736049,0.189930792990732,-0.107590446736117,-0.0152517137877492,0.269815704567309,-0.278319900680737,-0.49707924353695,0.109269400361323,-0.000944008255678042,0.008937330985001,-0.0187027899912115,-0.0175408335651712,-0.00273114806460821,-0.131910017242977,0.000110835444980094
"NrfA",0.0150111916898061,0.00592229773339112,-0.05904395049626,-0.0770866665027416,0.811144592929322,-0.0925662605920403,0.197194604716017,0.0873402153926371,0.508934204583692,-0.0834286491822861,-0.0993293911977507,-0.0136544550021353,-0.0291199079414222,0.0035479217540015,-4.06326480736234e-05,0.0146985219308553,-0.0130083072233444,-4.93931015839952e-05
"cNor",0.724512985518151,-0.0672789930958177,-0.167850273222264,-0.108585463903023,-0.0618224234572821,-0.00610351306157928,-0.106639460288095,-0.0933945876120702,0.108958390286055,-0.125048394806262,0.0898608938121343,0.216461496397942,-0.196411414156274,-0.501238242932271,-0.093627268115191,-0.1562109970212,0.0348026072008367,-0.000437736794472548
"NosL",0.693758305937532,-0.0486942063857077,-0.267690564738862,0.17846402463947,-0.00778489895919118,0.0354287723078203,0.0207312245786656,0.0494481152238837,-0.0658991656078272,0.0709896646021978,-0.300609609060264,-0.325514899447975,0.209964144009688,-0.208664551699681,0.331554810897417,0.0653921754899477,0.0330270341717934,-0.000517560676736989
"NorD",0.663808270251855,-0.0355410334065779,0.402458965080439,0.155065893228697,-0.00044021327123692,0.0210012255248505,0.00805031075170119,0.0501314758032077,0.0664154903993615,0.44404915220327,-0.0559430140844369,0.0784147772453337,-0.0493733287199521,0.0161543544499157,-0.0721426389494694,0.0233584687964831,-0.386960616519069,0.000998437425809036
"Hao",0.0454636957385127,0.00984716508739561,0.00339496952677013,0.0427719176158129,-0.490602890041243,-0.469128279675589,0.634215634493919,0.24228871187552,0.255588492544635,-0.0684259841332039,-0.0390637175707286,0.032533122599368,-0.0232081470410115,-0.0075993581986534,-0.00362222856691167,0.0306542218933691,0.0120992032628785,0.00132727998218765
"NosD",0.133605961777381,0.12487569196012,0.0362602048846843,0.173220054147013,0.0771442132275926,-0.712652918168856,-0.199395050728002,-0.611726122255392,-0.0153023787100467,0.018337480300233,-0.00227577760432446,-0.0366522194523867,0.0529685795598364,0.0518495863935361,-0.00340328885364293,-0.000856634372475813,0.0041847461384361,-6.28060721541525e-05
"NarK2",0.159119765030789,-0.0313498995304888,-0.0218824143794944,0.304073927501587,-0.0274041853091237,0.481012879080398,0.522331712922521,-0.596139304459565,0.0398737498891992,-0.119808930026327,0.0340479464748822,0.00938891901002496,0.00357520424283576,0.0494436891283806,-0.0143499645190012,-0.00730438175123315,-0.0226533467267081,-5.19123403774595e-05
"NirS",0.624001753014276,-0.040633982456328,0.365784346763022,-0.42460906727082,0.00366592611373252,0.0215775917409329,0.00846478582174083,-0.0625603809392967,-0.0856921863791026,-0.197153357554454,-0.0125269959942763,-0.068886967482427,0.00782967975568031,-0.0110532116226182,-0.164856900590171,0.456810592943576,0.0571217085720228,-0.000372073154506219
"NosF",0.625271174572478,-0.024284729011807,0.333712959926961,-0.29581036192114,-0.0735651273546522,0.0326614998021852,-0.0242597754532332,0.0292162308626511,0.176213079709012,-0.104651944324914,0.307371838559719,-0.307463246786876,0.266548827010617,0.121745192123714,-0.0392568293844389,-0.288386309341036,0.0080678017514108,-0.000423443009810268
"NosY",0.372699656867269,-0.0520205706599028,-0.734322058000297,0.124562092565912,-0.0591514517657778,0.0109074270961026,-0.0724597305135796,0.0709489470773058,-0.018924464758048,-0.0354988205679206,-0.225439974194799,-0.153244619270361,0.0210133361835936,0.155642858672613,-0.430758423699895,-0.0546860316369094,-0.0246399284797941,-0.000173141267672555
"bc1-sub1",0.0943209974364227,0.950071260211507,-0.0250661324109809,-0.0179344177715455,-0.00302835830188995,0.0495525283641087,0.0119271170420979,0.030398659552813,0.00636877557230091,-0.00553386453702232,-0.0391115383572125,0.15994626583934,0.198887733926819,-0.0164528262615177,-0.0241021011438623,0.00234489987285229,0.00272153356685695,-0.127994878245134
