"PC","eigenvalue","variance_explained"
"PC1",3.3627627387305,18.6820152151695
"PC2",2.40433231650354,13.357401758353
"PC3",1.66895089152788,9.27194939737712
"PC4",1.40341594179119,7.79675523217326
"PC5",1.25006365897456,6.94479810541422
"PC6",1.0376621835646,5.76478990869222
"PC7",1.01332160647703,5.62956448042797
"PC8",0.931081112576803,5.1726728476489
"PC9",0.688879736925173,3.8271096495843
"PC10",0.662625164120574,3.68125091178097
"PC11",0.612549525506699,3.40305291948166
"PC12",0.603191848857683,3.35106582698713
"PC13",0.52051865312164,2.89177029512022
"PC14",0.47113062792026,2.61739237733478
"PC15",0.428276204314718,2.37931224619288
"PC16",0.407812325843199,2.26562403246222
"PC17",0.39121099603371,2.1733944224095
"PC18",0.142214467210229,0.790080373390161
